metric,comparison,a1,a2,mean_a1,std_a1,median_a1,iqr_a1,mean_a2,std_a2,median_a2,iqr_a2,mean_diff,std_diff,paired_dz,boot_ci_95_low,boot_ci_95_high,t_stat,p_t_raw,w_stat,p_w_raw,p_t_holm,p_w_holm
mean_latency_ms,ai_xgboost vs static_dijkstra,ai_xgboost,static_dijkstra,25.14257618246765,21.583096488220974,21.907967059980336,40.01200825344901,25.126863177659317,21.59895234247542,21.907967059980336,40.04213495913298,0.01571300480833034,0.023462036795412162,0.6697204060051133,0.007122139135636491,0.02538468338762716,3.2809465300842207,0.0032770272074242315,0.0,0.0017556801732901593,0.013108108829696926,0.007022720693160637
mean_latency_ms,ai_xgboost vs dynamic_dijkstra,ai_xgboost,dynamic_dijkstra,25.14257618246765,21.583096488220974,21.907967059980336,40.01200825344901,25.22789409240475,21.655084207274125,22.113943355119822,40.226771014457285,-0.08531790993710013,0.23144689375555333,-0.3686284510139511,-0.18229886846263524,-0.00179008774250421,-1.8059032193134488,0.0840390583182215,85.0,0.06325040265435405,0.168078116636443,0.1265008053087081
mean_latency_ms,dynamic_dijkstra vs static_dijkstra,dynamic_dijkstra,static_dijkstra,25.22789409240475,21.655084207274125,22.113943355119822,40.226771014457285,25.126863177659317,21.59895234247542,21.907967059980336,40.04213495913298,0.10103091474543047,0.2276611133383709,0.4437776538291325,0.01808361788460141,0.19698721291698823,2.174057622261688,0.04024237931501289,68.0,0.01911832013289492,0.12072713794503867,0.057354960398684755
mean_latency_ms,ecmp vs static_dijkstra,ecmp,static_dijkstra,25.146505295628714,21.623809894768208,21.907967059980336,40.03992745361421,25.126863177659317,21.59895234247542,21.907967059980336,40.04213495913298,0.019642117969396817,0.06901133780914871,0.28462160846261547,-3.019238980347024e-06,0.05145883864125563,1.3943554210072528,0.1765345376825817,21.0,0.2867165663842488,0.1765345376825817,0.2867165663842488
mean_peak_utilization,ai_xgboost vs static_dijkstra,ai_xgboost,static_dijkstra,0.39128428281570055,0.3253051271408208,0.37944902606518754,0.5918331629722262,0.38703169333444865,0.32076835106241325,0.3765425159316168,0.5918529100754601,0.004252589481251914,0.008612976760950984,0.4937421287994249,0.0011857284705887085,0.007871414775033612,2.4188325601482443,0.023886777041795752,33.0,0.0594986450581288,0.09554710816718301,0.2379945802325152
mean_peak_utilization,ai_xgboost vs dynamic_dijkstra,ai_xgboost,dynamic_dijkstra,0.39128428281570055,0.3253051271408208,0.37944902606518754,0.5918331629722262,0.38786390675138005,0.31999871479695624,0.3848152207205645,0.5817082694644538,0.0034203760643204827,0.015775727945177405,0.21681256650765723,-0.00237254029084337,0.01005358638784346,1.062160315534004,0.29918894747664654,112.0,0.29664449735802356,0.5983778949532931,0.5932889947160471
mean_peak_utilization,dynamic_dijkstra vs static_dijkstra,dynamic_dijkstra,static_dijkstra,0.38786390675138005,0.31999871479695624,0.3848152207205645,0.5817082694644538,0.38703169333444865,0.32076835106241325,0.3765425159316168,0.5918529100754601,0.0008322134169314316,0.012918380769113749,0.06442087687345081,-0.004200752894905946,0.00597617481971611,0.3155965542452317,0.7551546313330888,146.0,0.9430160228039793,0.7551546313330888,0.9430160228039793
mean_peak_utilization,ecmp vs static_dijkstra,ecmp,static_dijkstra,0.38466367105769134,0.3172827662409548,0.3765425159316168,0.5902989126011917,0.38703169333444865,0.32076835106241325,0.3765425159316168,0.5918529100754601,-0.0023680222767572963,0.006523728543518252,-0.3629860226342619,-0.005239542038357017,-0.0001226728872471885,-1.7782610784325743,0.08858517118648172,51.0,0.19729373121303462,0.26575551355944516,0.5918811936391039
mean_path_stretch,ai_xgboost vs static_dijkstra,ai_xgboost,static_dijkstra,1.2967809515038244,0.311762463684971,1.2266640918302933,0.48078341826023063,1.2891586307637526,0.3188708482924583,1.2104794916118866,0.4944721929716831,0.007622320740071867,0.01129652852609807,0.6747489480916391,0.0035184410497828876,0.012329983465970218,3.305581254608418,0.003088430039448875,0.0,0.0017568834713945504,0.0123537201577955,0.007027533885578202
mean_path_stretch,ai_xgboost vs dynamic_dijkstra,ai_xgboost,dynamic_dijkstra,1.2967809515038244,0.311762463684971,1.2266640918302933,0.48078341826023063,1.3034074395522437,0.3015599830913905,1.2387361975980997,0.4595014115763809,-0.006626488048419287,0.015783768487083606,-0.4198292729548059,-0.012778192667298243,-0.00033778515847724723,-2.056734995645832,0.051227533878728006,89.0,0.08132749909524467,0.10245506775745601,0.16265499819048934
mean_path_stretch,dynamic_dijkstra vs static_dijkstra,dynamic_dijkstra,static_dijkstra,1.3034074395522437,0.3015599830913905,1.2387361975980997,0.4595014115763809,1.2891586307637526,0.3188708482924583,1.2104794916118866,0.4944721929716831,0.014248808788491154,0.02376615193533056,0.5995421062384524,0.005041736735752496,0.023894482377772346,2.9371444791954233,0.007403011198569056,55.0,0.006636333166494781,0.022209033595707167,0.019908999499484343
mean_path_stretch,ecmp vs static_dijkstra,ecmp,static_dijkstra,1.289217364982773,0.3191579468855571,1.2104794916118866,0.4944721929716831,1.2891586307637526,0.3188708482924583,1.2104794916118866,0.4944721929716831,5.873421902055642e-05,0.0005717644001941627,0.10272451205533459,-0.00015137273782881802,0.0002878639831683701,0.503245277223898,0.6195774276397203,43.0,0.9292572673432354,0.6195774276397203,0.9292572673432354
mean_compute_latency_us,ai_xgboost vs static_dijkstra,ai_xgboost,static_dijkstra,4439.696961389531,650.5061800947615,4436.856975697212,1177.3532021912342,132.3357369495944,45.191698875378,130.49939999999998,82.19074342629479,4307.361224439936,627.2412462611755,6.86715239170736,4062.758860370904,4555.289145459834,33.642038691232294,4.5864079646583306e-21,0.0,1.1920928955078125e-07,1.5648203336206677e-20,4.76837158203125e-07
